Country,State/Province,LATITUDE,LONGITUDE,TOTAL DOSES (AGE 12-60+),18+ WITH 1ST DOSE,18+ WITH 2ND DOSE,15-18 WITH 1ST DOSE,15-18 WITH 2ND DOSE,12-14 WITH 1ST DOSE,12-14 WITH 2ND DOSE,12-18 FULLY VACCINATED 
India,Andhra Pradesh,15.9129,79.73999,110956928,40645541,43555679,2535341,2527612,1523368,1495440,4023052
India,Arunachal Pradesh,28.218,94.7278,1924584,861396,748505,59100,44869,40852,28445,73314
India,Assam,26.2006,92.9376,50335776,22550940,20575568,1262520,972402,999552,602283,1574685
India,Bihar,25.0961,85.3131,157284392,62956600,59160913,6240650,5348480,4287757,3402669,8751149
India,Chhattisgarh,21.2787,81.8661,49167664,18956653,18537795,1234989,1053337,1076060,752559,1805896
India,Goa,15.2993,74.124,2874475,1355046,1224544,51734,44551,33265,26640,71191
India,Gujarat,22.2587,71.1924,128103545,49324341,49447690,3131885,2906673,1941575,1677798,4584471
India,Haryana,29.0588,76.0856,45544072,21963039,18749439,1158502,771866,559879,327619,1099485
India,Himachal Pradesh,31.1048,77.1734,15325484,6042660,5783693,331826,309613,272064,235002,544615
India,Jharkhand,23.6102,85.2799,43868965,21310047,16109898,1596100,1125379,1062613,622627,1748006
India,Karnataka,15.3173,75.7139,122149610,50032647,50520641,2816428,2719841,2325294,2150805,4870646
India,Kerala,10.8505,76.2711,57508775,27017016,23802675,1322837,957260,810941,511969,1469229
India,Madhya Pradesh,22.9734,78.6569,133937340,54143731,54060580,4194622,3472819,2410938,1698646,5171465
India,Maharashtra,19.7515,75.7139,177960091,84662005,71648321,4119008,3108697,2891065,1870305,4979002
India,Manipur,24.6637,93.9063,3269105,1464399,1226336,109652,68555,75418,44329,112884
India,Meghalaya,25.467,91.3662,2625670,1332367,1025429,77132,42844,37364,19512,62356
India,Mizoram,23.1645,92.9376,1793298,785860,669572,60098,47010,48360,33595,80605
India,Nagaland,26.1584,94.5624,1739837,837969,684747,59974,40347,26012,19889,60236
India,Odisha,20.9517,85.0985,81545585,31454216,29961027,2195561,1844429,1600992,1206669,3051098
India,Punjab,31.1471,75.3412,47049121,22360884,19620615,1117485,878039,684133,497387,1375426
India,Rajasthan,27.0238,74.2179,115718436,51115157,46586573,3576029,2955026,2343919,1496711,4451737
India,Sikkim,27.533,88.5122,1360477,539929,509134,30049,26515,21899,19007,45522
India,Tamil Nadu,11.1271,78.6569,127530717,56670472,53531557,2627720,2224006,1917118,1465205,3689211
India,Telangana,18.1124,79.0193,77574504,29616208,29076377,1724052,1582388,1107646,902450,2484838
India,Tripura,23.9408,91.9882,5918997,2659018,2328968,144833,115278,112965,79612,194890
India,Uttar Pradesh,26.8467,80.9462,392006995,154095906,147866312,14193602,13227385,8709692,7875771,21103156
India,Uttarakhand,30.0668,79.0193,20143388,8183313,7949220,532980,467834,402311,315985,783819
India,West Bengal,22.9868,87.855,156098881,67305235,61606660,3599978,3041521,2622463,2059346,5100867
